31.200,11.300,24.300,1.900
21.100,7.800,15.800,2.300
25.200,7.500,19.400,1.700
17.000,8.300,16.400,2.400
18.000,6.600,13.800,3.400
18.600,6.900,14.800,4.200
19.800,5.500,12.200,2.900
15.200,7.000,14.800,2.900
18.500,5.800,13.900,7.600
15.400,8.400,14.300,4.500
14.800,8.000,11.700,6.300
20.200,6.000,14.200,3.800
20.800,7.900,17.600,3.200
16.400,7.400,15.100,3.300
19.200,7.200,15.800,3.600
20.000,7.900,17.200,3.900
8.000,2.800,6.600,4.700
32.700,8.700,24.200,2.100
35.300,10.700,28.400,2.200
27.800,10.100,23.000,3.900
26.900,9.000,19.700,5.600
24.600,9.800,22.100,3.800
23.900,9.100,20.400,4.000
22.100,6.500,17.300,3.500
20.500,7.700,13.400,4.500
28.200,11.300,25.000,1.800
27.200,8.300,21.700,2.700
27.700,8.700,21.100,2.600
23.800,9.600,20.800,3.400
35.000,6.600,22.500,2.100
26.100,11.900,23.400,1.500
26.100,11.100,23.000,1.700
30.000,11.800,22.700,3.300
34.600,10.500,18.700,6.700
